"GEO_ID","id"
"NAME","Geographic Area Name"
"B03002_001E","Estimate!!Total:"
"B03002_001M","Margin of Error!!Total:"
"B03002_002E","Estimate!!Total:!!Not Hispanic or Latino:"
"B03002_002M","Margin of Error!!Total:!!Not Hispanic or Latino:"
"B03002_003E","Estimate!!Total:!!Not Hispanic or Latino:!!White alone"
"B03002_003M","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone"
"B03002_004E","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone"
"B03002_004M","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone"
"B03002_005E","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone"
"B03002_005M","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone"
"B03002_006E","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone"
"B03002_006M","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone"
"B03002_007E","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone"
"B03002_007M","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone"
"B03002_008E","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone"
"B03002_008M","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone"
"B03002_009E","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:"
"B03002_009M","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:"
"B03002_010E","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race"
"B03002_010M","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race"
"B03002_011E","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"B03002_011M","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"B03002_012E","Estimate!!Total:!!Hispanic or Latino:"
"B03002_012M","Margin of Error!!Total:!!Hispanic or Latino:"
"B03002_013E","Estimate!!Total:!!Hispanic or Latino:!!White alone"
"B03002_013M","Margin of Error!!Total:!!Hispanic or Latino:!!White alone"
"B03002_014E","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone"
"B03002_014M","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone"
"B03002_015E","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone"
"B03002_015M","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone"
"B03002_016E","Estimate!!Total:!!Hispanic or Latino:!!Asian alone"
"B03002_016M","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone"
"B03002_017E","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone"
"B03002_017M","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone"
"B03002_018E","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone"
"B03002_018M","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone"
"B03002_019E","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:"
"B03002_019M","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:"
"B03002_020E","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race"
"B03002_020M","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race"
"B03002_021E","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"B03002_021M","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
